,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6076006593444444,0.31195199588532696,1.1603666622000002,182.5,18,16,2,0
BoulwareAgent,0.6068107372944443,0.3196127369279289,1.2342831153555553,1619.4444444444443,18,18,0,0
DreamTeam109Agent,0.576566306438889,0.17942713831181686,0.7670230642277777,2095.0555555555557,18,11,7,0
AgentFO2,0.5481384107666667,0.2356583152285462,0.8776559342944446,1079.5555555555557,18,13,5,0
HardlinerAgent,0.4945338279611111,0.12355746477556867,0.6196728630722222,2502.6666666666665,18,9,9,0
Agent4410,0.49260709177222217,0.2222860295966601,0.8715826349555557,917.0555555555555,18,13,5,0
TimeDependentAgent,0.46996702189444456,0.3454761460645043,1.2851197146666666,326.3888888888889,18,18,0,0
HybridAgent,0.46438010973888894,0.19613772593472498,0.7046188620444445,82.0,18,10,8,0
AgentFish,0.4139472023333333,0.25973158882600655,1.123248686038889,529.9444444444445,18,18,0,0
StupidAgent,0.22997236990555558,0.21827040314639845,1.1654759380444442,2.5,18,18,0,0
