;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;HardlinerAgent;0.537092884990909;0.49035214335884764;0.1438681655727273;0.1438681655727273;0.14141099661782056;0.1334332832682721;0.6809610505636364;0.6223168191239652;0.9846702891499998;0.010003646341412691;0.26375830355;0.048890087358632275;22;12;0.5454545454545454;0;10
1;Agent4410;0.48801850677272735;0.36336323152504757;0.44386007765909097;0.44386007765909097;0.2600087288007176;0.18587647362339801;0.9318785844318181;0.583127109004012;0.6710254468125001;0.24236921952564522;0.6103076067812501;0.2551090922612716;22;16;0.7272727272727273;0;6
2;ColmanAnacondotAgent2;0.6357332501272727;0.2951177369894843;0.6762990609363636;0.6762990609363636;0.3488324307728809;0.11567096467108018;1.3120323110636365;0.11698256643573604;0.6357332501272727;0.2951177369894843;0.6762990609363636;0.298022114536034;22;22;1.0;0;0
3;TimeDependentAgent;0.4815184640272728;0.185403093155369;0.8526561399999999;0.8526561399999999;0.37749471456024425;0.08170190561328343;1.3341746040272726;0.0712787206363872;0.4815184640272728;0.185403093155369;0.8526561399999999;0.19197986794437488;22;22;1.0;0;0
4;HybridAgent;0.4858483142818182;0.41062347691639833;0.25721360159999995;0.25721360159999995;0.20882688427137663;0.18743333942521342;0.7430619158818182;0.6247213328704644;0.8222048395538463;0.09374866475511165;0.4352845565538461;0.11738771106500606;22;13;0.5909090909090909;0;9
5;StupidAgent;0.2631756473181818;0.07178673215449115;0.9454568981045455;0.9454568981045455;0.24586490377733686;0.053415647066917434;1.2086325454227274;0.08262052697274389;0.2631756473181818;0.07178673215449115;0.9454568981045455;0.08709461148295858;22;22;1.0;0;0
6;BoulwareAgent;0.5620329882545454;0.28487023994528493;0.5871484096590908;0.5871484096590908;0.31530886926858287;0.13782733387325016;1.1491813979136365;0.3923111085255908;0.61823628708;0.23349355489956442;0.6458632506249999;0.2728081424018997;22;20;0.9090909090909091;0;2
7;DreamTeam109Agent;0.516531569390909;0.4719538700635102;0.19702469445454546;0.19702469445454546;0.18602739746986743;0.18142021168041406;0.7135562638454545;0.6544845114221624;0.9469745438833334;0.027183860164561365;0.36121193983333333;0.09326669618669885;22;12;0.5454545454545454;0;10
8;ColmanAnacondotAgent;0.6408072458318183;0.26122220075532754;0.6576079494409091;0.6576079494409091;0.3645323556034263;0.11559882668520222;1.2984151952727274;0.1531974189386994;0.6408072458318183;0.26122220075532754;0.6576079494409091;0.2626167885567243;22;22;1.0;0;0
9;AgentFO2;0.5480922785954546;0.36387416073117806;0.3448118399818182;0.3448118399818182;0.25098668209722624;0.18258348559553894;0.8929041185772728;0.5727395520208114;0.75362688306875;0.1648018608322533;0.47411627997499994;0.19283733892021424;22;16;0.7272727272727273;0;6
10;AgentFish;0.3673364284954545;0.2075580718114847;0.7736641180863636;0.7736641180863636;0.25014444251391427;0.08644817970527856;1.1410005465818183;0.15339715832478834;0.3673364284954545;0.2075580718114847;0.7736641180863636;0.2203439991605199;22;22;1.0;0;0
11;LuckyAgent2022;0.5481766049863636;0.458891858110558;0.19475322757727273;0.19475322757727273;0.17692182507196078;0.16135374002183514;0.7429298325636363;0.6205134911675925;0.9276834853615383;0.06562643236056469;0.32958238513076926;0.11541676663032426;22;13;0.5909090909090909;0;9
