;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;LuckyAgent2022;0.6000264631;HybridAgent;0.7407101442;Agreement
1;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
2;LuckyAgent2022;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
3;LuckyAgent2022;0.95814;TimeDependentAgent;0.4561621662;Agreement
4;LuckyAgent2022;0.9871743368;StupidAgent;0.2244574044;Agreement
5;LuckyAgent2022;0.95814;Agent4410;0.4561621662;Agreement
6;LuckyAgent2022;0.9461155372;AgentFish;0.2945927067;Agreement
7;LuckyAgent2022;0.0;AgentFO2;0.0;Failed
8;LuckyAgent2022;0.936910694;BoulwareAgent;0.5282021763;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HybridAgent;0.0;HardlinerAgent;0.0;Failed
11;HybridAgent;0.79106643;ColmanAnacondotAgent2;0.5505725719;Agreement
12;HybridAgent;0.95814;TimeDependentAgent;0.4561621662;Agreement
13;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HybridAgent;0.0;Agent4410;0.0;Failed
15;HybridAgent;0.7434938088;AgentFish;0.3518853488;Agreement
16;HybridAgent;0.7177615249;AgentFO2;0.4939952607;Agreement
17;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
18;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
19;HardlinerAgent;0.0;HybridAgent;0.0;Failed
20;HardlinerAgent;0.9871743368;ColmanAnacondotAgent2;0.2244574044;Agreement
21;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
22;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
23;HardlinerAgent;0.9871743368;Agent4410;0.2244574044;Agreement
24;HardlinerAgent;1.0;AgentFish;0.2061406266;Agreement
25;HardlinerAgent;0.0;AgentFO2;0.0;Failed
26;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
27;ColmanAnacondotAgent2;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
28;ColmanAnacondotAgent2;0.6000264631;HybridAgent;0.7407101442;Agreement
29;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
30;ColmanAnacondotAgent2;0.978770694;TimeDependentAgent;0.2781806367;Agreement
31;ColmanAnacondotAgent2;0.9465602612;StupidAgent;0.28889114;Agreement
32;ColmanAnacondotAgent2;0.5226349051;Agent4410;0.7875237484;Agreement
33;ColmanAnacondotAgent2;0.9658531236;AgentFish;0.3062340193;Agreement
34;ColmanAnacondotAgent2;0.8723447992;AgentFO2;0.5566990027;Agreement
35;ColmanAnacondotAgent2;0.936910694;BoulwareAgent;0.5282021763;Agreement
36;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
37;TimeDependentAgent;0.5787971571;HybridAgent;0.8127501543;Agreement
38;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
39;TimeDependentAgent;0.4329528931;ColmanAnacondotAgent2;0.8351205499;Agreement
40;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
41;TimeDependentAgent;0.6000264631;Agent4410;0.7407101442;Agreement
42;TimeDependentAgent;0.5142312623;AgentFish;0.8412469807;Agreement
43;TimeDependentAgent;0.4293405683;AgentFO2;0.8654935708;Agreement
44;TimeDependentAgent;0.3767834864;BoulwareAgent;0.9472565835;Agreement
45;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
46;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
47;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
48;StupidAgent;0.2305837204;ColmanAnacondotAgent2;0.9402612499;Agreement
49;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
50;StupidAgent;0.2429668632;Agent4410;0.9341922922;Agreement
51;StupidAgent;0.5219443859;AgentFish;0.6913188338;Agreement
52;StupidAgent;0.2918927924;AgentFO2;0.9715031736;Agreement
53;StupidAgent;0.2273268976;BoulwareAgent;1.0;Agreement
54;Agent4410;0.0;LuckyAgent2022;0.0;Failed
55;Agent4410;0.0;HybridAgent;0.0;Failed
56;Agent4410;0.2273268976;HardlinerAgent;1.0;Agreement
57;Agent4410;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
58;Agent4410;0.78535;TimeDependentAgent;0.5188555928;Agreement
59;Agent4410;0.9085279144;StupidAgent;0.2187789995;Agreement
60;Agent4410;0.4939064631;AgentFish;0.8369967444;Agreement
61;Agent4410;0.3228119156;AgentFO2;0.8806674432;Agreement
62;Agent4410;0.3122175916;BoulwareAgent;0.9757534099;Agreement
63;AgentFish;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
64;AgentFish;0.2963063176;HybridAgent;0.7612439154;Agreement
65;AgentFish;0.2273268976;HardlinerAgent;1.0;Agreement
66;AgentFish;0.2252227924;ColmanAnacondotAgent2;0.93791;Agreement
67;AgentFish;0.78535;TimeDependentAgent;0.5188555928;Agreement
68;AgentFish;0.6874423017;StupidAgent;0.2739549733;Agreement
69;AgentFish;0.936910694;Agent4410;0.5282021763;Agreement
70;AgentFish;0.2142539928;AgentFO2;0.6878469363;Agreement
71;AgentFish;0.2429824348;BoulwareAgent;0.6383739403;Agreement
72;AgentFO2;0.0;LuckyAgent2022;0.0;Failed
73;AgentFO2;0.5872007999;HybridAgent;0.759026922;Agreement
74;AgentFO2;0.0;HardlinerAgent;0.0;Failed
75;AgentFO2;0.8552768228;ColmanAnacondotAgent2;0.4927100163;Agreement
76;AgentFO2;0.8556323248;TimeDependentAgent;0.5220757455;Agreement
77;AgentFO2;0.9649280176;StupidAgent;0.2037485152;Agreement
78;AgentFO2;0.7889623248;Agent4410;0.4884825719;Agreement
79;AgentFO2;0.7411279128;AgentFish;0.1422554029;Agreement
80;AgentFO2;0.6206571571;BoulwareAgent;0.5627286147;Agreement
81;BoulwareAgent;0.3980127924;LuckyAgent2022;0.8752165734;Agreement
82;BoulwareAgent;0.5354605683;HybridAgent;0.7692069706;Agreement
83;BoulwareAgent;0.2273268976;HardlinerAgent;1.0;Agreement
84;BoulwareAgent;0.3851871292;ColmanAnacondotAgent2;0.8935333512;Agreement
85;BoulwareAgent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
86;BoulwareAgent;1.0;StupidAgent;0.2061406266;Agreement
87;BoulwareAgent;0.9465602612;Agent4410;0.28889114;Agreement
88;BoulwareAgent;0.6418864631;AgentFish;0.4906886046;Agreement
89;BoulwareAgent;0.5521789898;AgentFO2;0.612544579;Agreement
